,,,sa - 1 - mesh,,sa - 1 - 1hop,, sa - 10 - mesh,,sa - 10 - 1hop,, sa - 100 - mesh,,sa - 100 - 1hop,, sa - 1000 - mesh,,sa - 1000 - 1hop,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y
Cplx8,91,-1,30,18,0,66.53769179452968,644760,8,8,0,88.19941660037125,644760,27,20,0,66.53327997865813,644760,2,2,0,79.8783416039699,644760,21,15,0,66.5554517549713,644760,2,2,0,79.8783416039699,644760,18,13,0,66.56883671291357,644760,1,1,0,79.8783416039699,644760
arf,30,-1,6,6,0,79.94881228505159,282240,0,0,0,99.95001499550135,282240,4,3,0,79.95841330774152,282240,0,0,0,99.95001499550135,282240,4,3,0,79.95841330774152,282240,0,0,0,99.95001499550135,282240,4,3,0,79.95841330774152,282240,0,0,0,99.95001499550135,282240
BBT-h5,62,-1,17,16,0,99.93998799759952,508032,1,1,0,99.95999199839967,508032,12,11,0,99.91998399679936,508032,0,0,0,99.95999199839967,508032,10,10,0,99.93998799759952,508032,0,0,0,99.95999199839967,508032,9,9,0,99.93998799759952,508032,0,0,0,99.95999199839967,508032
dag18-5x5-MC=1,21,-1,1,1,0,99.95999199839967,193500,0,0,0,66.648882960987,193500,1,1,0,99.95999199839967,193500,0,0,0,66.648882960987,193500,1,1,0,99.95999199839967,193500,0,0,0,66.648882960987,193500,1,1,0,99.95999199839967,193500,0,0,0,66.648882960987,193500
h2v2_smooth,65,-1,11,7,0,59.92441965089077,508032,2,2,0,85.5772524837273,508032,9,7,0,74.89132064158296,508032,1,1,0,90.7621037333091,508032,8,7,0,74.8857078618002,508032,0,0,0,99.83015286242382,508032,4,2,0,85.5772524837273,508032,0,0,0,99.83015286242382,508032
dag20-5x5,20,-1,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500
simple,17,-1,3,3,0,99.95000499950005,120840,0,0,0,99.96000000000001,120840,2,2,0,99.94,120840,0,0,0,99.96000000000001,120840,2,2,0,99.94,120840,0,0,0,99.96000000000001,120840,2,2,0,99.94,120840,0,0,0,99.96000000000001,120840
tree25-5x5,24,-1,2,2,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,2,2,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500
dag14-4x4-MC=1,16,-1,2,2,0,49.994998499549865,120840,0,0,0,66.65777540677514,120840,1,1,0,99.97999599919984,120840,0,0,0,66.65777540677514,120840,1,1,0,99.97999599919984,120840,0,0,0,66.65777540677514,120840,1,1,0,99.97999599919984,120840,0,0,0,66.65777540677514,120840
dag32-6x6,35,-1,3,2,0,66.66221985058698,282240,0,0,0,99.93998799759952,282240,1,1,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240
