dot_name,nodes,edges,g_input,g_output,io,utilization,in_degree_avg,out_degree_avg,is_DAG,average_shortest_path_length,dag_longest_path_length,degree_assortativity_coefficient
ctrl,105,101,1,7,40,62.13%,0.9619047619047619,0.9619047619047619,True,None,7,-0.3134316431885904
adder,1022,894,1,3,639,3.89%,0.8747553816046967,0.8747553816046967,True,None,255,0.15212868949479225
arbiter,11967,11839,1,7,672,40.93%,0.9893039191108883,0.9893039191108883,True,None,86,-0.17567776064686022
bar,3144,3141,1,256,1344,2.74%,0.9990458015267175,0.9990458015267175,True,None,12,-0.09797267422370659
cavlc,668,659,1,34,199,24.70%,0.9865269461077845,0.9865269461077845,True,None,11,-0.4737808879670795
dec,308,304,1,20,263,6.47%,0.987012987012987,0.987012987012987,True,None,3,-0.07129920887482881
div,40918,40864,1,67,12337,0.43%,0.9986802874040764,0.9986802874040764,True,None,482,-0.0022564741427473084
hyp,208619,208364,1,127,63925,0.08%,0.9987776760505994,0.9987776760505994,True,None,974,0.04642780827612232
i2c,1205,1151,1,32,460,8.65%,0.9551867219917013,0.9551867219917013,True,None,11,-0.09035205397552568
int2float,227,217,1,9,76,51.47%,0.9559471365638766,0.9559471365638766,True,None,11,-0.38364503110843395
log2,30216,30185,1,57,12084,0.33%,0.9989740534815992,0.9989740534815992,True,None,86,-0.008532787878454419
max,3117,2861,1,256,1655,1.79%,0.917869746551171,0.917869746551171,True,None,60,0.02448913709911415
multiplier,25319,25192,1,67,10943,0.34%,0.9949840041075871,0.9949840041075871,True,None,47,0.006587289030749363
priority,858,793,1,7,339,11.34%,0.9242424242424242,0.9242424242424242,True,None,237,-0.1820519265100374
router,261,240,1,5,88,45.31%,0.9195402298850575,0.9195402298850575,True,None,23,0.08902699627059601
sin,5108,5105,1,33,1876,2.30%,0.9994126859827721,0.9994126859827721,True,None,56,0.02251767157131105
sqrt,19394,19330,1,49,4263,1.70%,0.9967000103124678,0.9967000103124678,True,None,370,-0.0001504026873753839
square,16779,16716,1,79,6294,0.67%,0.9962453066332916,0.9962453066332916,True,None,196,0.05929380511604182
voter,9492,9159,1,3,3904,0.99%,0.9649178255372945,0.9649178255372945,True,None,51,0.21943663221246754
