Netlist file: ../../benchmarks/fpga/net_EPFL/adder.net   Architecture file: arch/k4-n1.xml
Array size: 160 x 160 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
b0		0	144	0	#0
b1		54	0	0	#1
b10		0	51	0	#2
b100		11	0	0	#3
b101		19	161	0	#4
b102		161	105	0	#5
b103		86	0	0	#6
b104		111	0	0	#7
b105		161	132	0	#8
b106		0	146	0	#9
b107		161	130	0	#10
b108		26	0	0	#11
b109		161	103	0	#12
b11		144	161	0	#13
b110		12	0	0	#14
b111		161	53	0	#15
b112		0	153	0	#16
b113		161	143	0	#17
b114		126	0	0	#18
b115		161	27	0	#19
b116		161	158	0	#20
b117		0	16	0	#21
b118		0	70	0	#22
b119		128	161	0	#23
b12		161	9	0	#24
b120		0	118	0	#25
b121		1	161	0	#26
b122		161	101	0	#27
b123		109	0	0	#28
b124		49	0	0	#29
b125		0	152	0	#30
b126		0	133	0	#31
b127		161	155	0	#32
b13		161	55	0	#33
b14		161	13	0	#34
b15		156	161	0	#35
b16		4	0	0	#36
b17		3	161	0	#37
b18		0	23	0	#38
b19		161	137	0	#39
b2		38	0	0	#40
b20		0	26	0	#41
b21		0	135	0	#42
b22		45	0	0	#43
b23		87	161	0	#44
b24		161	39	0	#45
b25		0	46	0	#46
b26		18	0	0	#47
b27		0	137	0	#48
b28		89	0	0	#49
b29		79	0	0	#50
b3		161	134	0	#51
b30		161	37	0	#52
b31		161	153	0	#53
b32		0	19	0	#54
b33		0	64	0	#55
b34		123	0	0	#56
b35		161	21	0	#57
b36		142	0	0	#58
b37		161	1	0	#59
b38		150	0	0	#60
b39		0	125	0	#61
b4		0	43	0	#62
b40		0	123	0	#63
b41		157	161	0	#64
b42		145	161	0	#65
b43		38	161	0	#66
b44		136	0	0	#67
b45		0	57	0	#68
b46		161	30	0	#69
b47		146	0	0	#70
b48		0	40	0	#71
b49		0	31	0	#72
b5		76	161	0	#73
b50		161	4	0	#74
b51		0	158	0	#75
b52		161	51	0	#76
b53		0	108	0	#77
b54		9	161	0	#78
b55		15	161	0	#79
b56		0	54	0	#80
b57		22	0	0	#81
b58		120	0	0	#82
b59		0	38	0	#83
b6		29	0	0	#84
b60		6	161	0	#85
b61		0	127	0	#86
b62		161	49	0	#87
b63		31	161	0	#88
b64		30	0	0	#89
b65		161	43	0	#90
b66		125	161	0	#91
b67		0	156	0	#92
b68		161	7	0	#93
b69		161	160	0	#94
b7		53	161	0	#95
b70		0	1	0	#96
b71		161	34	0	#97
b72		82	161	0	#98
b73		132	0	0	#99
b74		161	23	0	#100
b75		130	0	0	#101
b76		8	0	0	#102
b77		103	0	0	#103
b78		0	10	0	#104
b79		0	5	0	#105
b8		24	161	0	#106
b80		139	0	0	#107
b81		161	145	0	#108
b82		161	73	0	#109
b83		132	161	0	#110
b84		13	161	0	#111
b85		161	19	0	#112
b86		0	114	0	#113
b87		161	141	0	#114
b88		66	0	0	#115
b89		35	161	0	#116
b9		157	0	0	#117
b90		114	0	0	#118
b91		135	161	0	#119
b92		161	46	0	#120
b93		106	0	0	#121
b94		152	161	0	#122
b95		93	0	0	#123
b96		154	0	0	#124
b97		0	139	0	#125
b98		161	97	0	#126
b99		141	161	0	#127
out_cOut:new_n1277_	15	0	0	#128
out_f0:new_n387_	0	130	0	#129
out_f1:new_n394_	57	0	0	#130
out_f10:new_n458_	0	107	0	#131
out_f100:new_n1088_	161	119	0	#132
out_f101:new_n1095_	161	112	0	#133
out_f102:new_n1102_	161	72	0	#134
out_f103:new_n1109_	161	12	0	#135
out_f104:new_n1116_	117	0	0	#136
out_f105:new_n1123_	76	0	0	#137
out_f106:new_n1130_	24	0	0	#138
out_f107:new_n1137_	0	9	0	#139
out_f108:new_n1144_	0	13	0	#140
out_f109:new_n1151_	0	21	0	#141
out_f11:new_n465_	54	161	0	#142
out_f110:new_n1158_	0	68	0	#143
out_f111:new_n1165_	18	161	0	#144
out_f112:new_n1172_	29	161	0	#145
out_f113:new_n1179_	26	161	0	#146
out_f114:new_n1186_	0	48	0	#147
out_f115:new_n1193_	35	0	0	#148
out_f116:new_n1200_	62	0	0	#149
out_f117:new_n1207_	121	0	0	#150
out_f118:new_n1214_	161	71	0	#151
out_f119:new_n1221_	161	108	0	#152
out_f12:new_n472_	62	161	0	#153
out_f120:new_n1228_	149	161	0	#154
out_f121:new_n1235_	113	161	0	#155
out_f122:new_n1242_	107	161	0	#156
out_f123:new_n1249_	102	0	0	#157
out_f124:new_n1256_	98	0	0	#158
out_f125:new_n1263_	94	0	0	#159
out_f126:new_n1270_	32	0	0	#160
out_f127:new_n1277_	16	0	0	#161
out_f13:new_n479_	65	161	0	#162
out_f14:new_n486_	161	95	0	#163
out_f15:new_n493_	70	0	0	#164
out_f16:new_n500_	63	161	0	#165
out_f17:new_n507_	60	0	0	#166
