Netlist file: ../../benchmarks/fpga/net_EPFL/arbiter.net   Architecture file: arch/k4-n1.xml
Array size: 168 x 168 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_anyGrant:new_n12223_	169	125	0	#0
out_grant0:new_n723_	169	69	0	#1
out_grant1:new_n1062_	55	169	0	#2
out_grant10:new_n2098_	0	108	0	#3
out_grant100:new_n9838_	0	168	0	#4
out_grant101:new_n9924_	0	153	0	#5
out_grant102:new_n10010_	7	169	0	#6
out_grant103:new_n10096_	167	0	0	#7
out_grant104:new_n10182_	75	0	0	#8
out_grant105:new_n10268_	134	0	0	#9
out_grant106:new_n10354_	0	94	0	#10
out_grant107:new_n10440_	3	169	0	#11
out_grant108:new_n10526_	0	125	0	#12
out_grant109:new_n10612_	164	0	0	#13
out_grant11:new_n2184_	74	0	0	#14
out_grant110:new_n10698_	137	0	0	#15
out_grant111:new_n10784_	114	0	0	#16
out_grant112:new_n10870_	0	3	0	#17
out_grant113:new_n10956_	70	169	0	#18
out_grant114:new_n11042_	79	169	0	#19
out_grant115:new_n11128_	0	116	0	#20
out_grant116:new_n11214_	17	0	0	#21
out_grant117:new_n11300_	169	146	0	#22
out_grant118:new_n11386_	169	159	0	#23
out_grant119:new_n11472_	29	0	0	#24
out_grant12:new_n2270_	169	109	0	#25
out_grant120:new_n11558_	122	0	0	#26
out_grant121:new_n11644_	107	169	0	#27
out_grant122:new_n11730_	0	158	0	#28
out_grant123:new_n11816_	169	35	0	#29
out_grant124:new_n11902_	98	169	0	#30
out_grant125:new_n11988_	121	0	0	#31
out_grant126:new_n12074_	0	77	0	#32
out_grant127:new_n12160_	0	48	0	#33
out_grant13:new_n2356_	48	0	0	#34
out_grant14:new_n2442_	85	0	0	#35
out_grant15:new_n2528_	77	169	0	#36
out_grant16:new_n2614_	169	120	0	#37
out_grant17:new_n2700_	169	48	0	#38
out_grant18:new_n2786_	137	169	0	#39
out_grant19:new_n2872_	169	131	0	#40
out_grant2:new_n1399_	151	0	0	#41
out_grant20:new_n2958_	115	169	0	#42
out_grant21:new_n3044_	169	152	0	#43
out_grant22:new_n3130_	0	44	0	#44
out_grant23:new_n3216_	149	0	0	#45
out_grant24:new_n3302_	60	0	0	#46
out_grant25:new_n3388_	0	141	0	#47
out_grant26:new_n3474_	138	169	0	#48
out_grant27:new_n3560_	0	47	0	#49
out_grant28:new_n3646_	58	0	0	#50
out_grant29:new_n3732_	169	128	0	#51
out_grant3:new_n1489_	123	169	0	#52
out_grant30:new_n3818_	87	169	0	#53
out_grant31:new_n3904_	0	59	0	#54
out_grant32:new_n3990_	169	143	0	#55
out_grant33:new_n4076_	169	62	0	#56
out_grant34:new_n4162_	1	169	0	#57
out_grant35:new_n4248_	0	156	0	#58
out_grant36:new_n4334_	169	61	0	#59
out_grant37:new_n4420_	0	131	0	#60
out_grant38:new_n4506_	0	123	0	#61
out_grant39:new_n4592_	0	31	0	#62
out_grant4:new_n1579_	169	49	0	#63
out_grant40:new_n4678_	94	169	0	#64
out_grant41:new_n4764_	169	115	0	#65
out_grant42:new_n4850_	112	0	0	#66
out_grant43:new_n4936_	169	116	0	#67
out_grant44:new_n5022_	0	120	0	#68
out_grant45:new_n5108_	169	163	0	#69
out_grant46:new_n5194_	13	169	0	#70
out_grant47:new_n5280_	82	169	0	#71
out_grant48:new_n5366_	44	0	0	#72
out_grant49:new_n5452_	169	156	0	#73
out_grant5:new_n1666_	169	33	0	#74
out_grant50:new_n5538_	117	169	0	#75
out_grant51:new_n5624_	169	60	0	#76
out_grant52:new_n5710_	127	0	0	#77
out_grant53:new_n5796_	57	169	0	#78
out_grant54:new_n5882_	95	0	0	#79
out_grant55:new_n5968_	163	169	0	#80
out_grant56:new_n6054_	169	138	0	#81
out_grant57:new_n6140_	0	100	0	#82
out_grant58:new_n6226_	169	26	0	#83
out_grant59:new_n6312_	0	117	0	#84
out_grant6:new_n1753_	0	115	0	#85
