Netlist file: ../../benchmarks/fpga/net_EPFL/bar.net   Architecture file: arch/k4-n1.xml
Array size: 336 x 336 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_new_n1000_:new_n999_	0	112	0	#0
new_n1001_	140	301	0	#1
new_n1002_	139	306	0	#2
out_new_n1003_:new_n1002_	139	337	0	#3
new_n1004_	108	309	0	#4
out_new_n1005_:new_n1004_	108	337	0	#5
new_n1006_	80	1	0	#6
new_n1007_	78	48	0	#7
new_n1008_	76	77	0	#8
new_n1009_	76	254	0	#9
out_new_n1010_:new_n1009_	77	337	0	#10
new_n1011_	336	18	0	#11
out_new_n1012_:new_n1011_	337	45	0	#12
new_n1013_	143	307	0	#13
new_n1014_	143	313	0	#14
out_new_n1015_:new_n1014_	143	337	0	#15
new_n1016_	214	2	0	#16
out_new_n1017_:new_n1016_	214	0	0	#17
new_n1018_	329	2	0	#18
new_n1019_	330	1	0	#19
new_n1020_	330	2	0	#20
new_n1021_	332	2	0	#21
new_n1022_	336	1	0	#22
new_n1023_	336	19	0	#23
out_new_n1024_:new_n1023_	337	32	0	#24
new_n1025_	281	314	0	#25
new_n1026_	282	315	0	#26
out_new_n1027_:new_n1026_	282	337	0	#27
new_n1028_	260	1	0	#28
out_new_n1029_:new_n1028_	262	0	0	#29
new_n1030_	296	266	0	#30
new_n1031_	298	267	0	#31
new_n1032_	298	268	0	#32
new_n1033_	298	269	0	#33
out_new_n1034_:new_n1033_	337	272	0	#34
new_n1035_	77	1	0	#35
out_new_n1036_:new_n1035_	77	0	0	#36
new_n1037_	80	305	0	#37
new_n1038_	81	310	0	#38
out_new_n1039_:new_n1038_	81	337	0	#39
new_n1040_	320	1	0	#40
out_new_n1041_:new_n1040_	320	0	0	#41
new_n1042_	97	1	0	#42
new_n1043_	98	1	0	#43
new_n1044_	98	2	0	#44
new_n1045_	100	2	0	#45
new_n1046_	142	2	0	#46
out_new_n1047_:new_n1022_	336	0	0	#47
new_n1048_	210	2	0	#48
new_n1049_	218	2	0	#49
new_n1050_	220	2	0	#50
out_new_n1051_:new_n950_	117	0	0	#51
new_n1052_	219	2	0	#52
new_n1053_	219	1	0	#53
new_n1054_	220	1	0	#54
out_new_n1056_:new_n335_	337	225	0	#55
new_n1057_	153	1	0	#56
new_n1058_	152	1	0	#57
out_new_n1059_:new_n1058_	149	0	0	#58
out_new_n1060_:new_n266_	269	0	0	#59
new_n1061_	315	194	0	#60
new_n1062_	315	223	0	#61
new_n1063_	336	222	0	#62
out_new_n1064_:new_n299_	337	70	0	#63
new_n1065_	203	2	0	#64
new_n1066_	193	2	0	#65
out_new_n1067_:new_n1066_	190	0	0	#66
out_new_n1068_:new_n277_	106	0	0	#67
new_n1069_	334	112	0	#68
new_n1070_	336	112	0	#69
new_n1071_	336	110	0	#70
out_new_n1072_:new_n1063_	337	222	0	#71
new_n1073_	335	110	0	#72
new_n1074_	335	111	0	#73
out_new_n1075_:new_n1074_	337	130	0	#74
out_new_n1076_:new_n425_	307	0	0	#75
new_n1077_	106	81	0	#76
new_n1078_	107	96	0	#77
out_new_n1079_:new_n1078_	106	337	0	#78
out_new_n1080_:new_n315_	337	263	0	#79
new_n1081_	33	153	0	#80
new_n1082_	3	231	0	#81
new_n1083_	1	232	0	#82
out_new_n1084_:new_n345_	300	0	0	#83
new_n1085_	54	286	0	#84
new_n1086_	42	287	0	#85
out_new_n1087_:new_n1086_	0	288	0	#86
out_new_n1088_:new_n325_	337	247	0	#87
new_n1089_	254	5	0	#88
new_n1090_	254	157	0	#89
new_n1091_	254	208	0	#90
out_new_n1092_:new_n1083_	0	237	0	#91
new_n1093_	252	209	0	#92
new_n1094_	250	250	0	#93
new_n1095_	246	316	0	#94
out_new_n1096_:new_n474_	285	337	0	#95
new_n1097_	189	2	0	#96
new_n1098_	194	1	0	#97
out_new_n1099_:new_n1098_	203	0	0	#98
out_new_n1100_:new_n360_	112	0	0	#99
new_n1101_	190	1	0	#100
new_n1102_	189	1	0	#101
new_n1103_	188	1	0	#102
out_new_n1104_:new_n390_	3	0	0	#103
new_n1105_	2	17	0	#104
new_n1106_	2	18	0	#105
out_new_n1107_:new_n1106_	0	163	0	#106
out_new_n1108_:new_n370_	231	0	0	#107
new_n1109_	191	2	0	#108
new_n1110_	243	2	0	#109
new_n1111_	244	2	0	#110
out_new_n1112_:new_n1103_	188	0	0	#111
new_n1113_	242	2	0	#112
new_n1114_	242	1	0	#113
out_new_n1115_:new_n1114_	242	0	0	#114
out_new_n1116_:new_n380_	337	54	0	#115
new_n1117_	52	2	0	#116
new_n1118_	52	1	0	#117
out_new_n1119_:new_n1118_	51	0	0	#118
out_new_n1120_:new_n405_	0	79	0	#119
new_n1121_	149	45	0	#120
new_n1122_	139	44	0	#121
new_n1123_	128	1	0	#122
out_new_n1124_:new_n435_	29	337	0	#123
new_n1125_	170	226	0	#124
new_n1126_	168	227	0	#125
out_new_n1127_:new_n1126_	0	245	0	#126
out_new_n1128_:new_n415_	315	337	0	#127
new_n1129_	140	2	0	#128
new_n1130_	137	1	0	#129
new_n1131_	126	1	0	#130
out_new_n1132_:new_n1123_	128	0	0	#131
new_n1133_	116	1	0	#132
new_n1134_	81	1	0	#133
new_n1135_	78	1	0	#134
out_new_n1136_:new_n1095_	247	337	0	#135
new_n1137_	76	1	0	#136
new_n1138_	75	1	0	#137
out_new_n1139_:new_n1138_	75	0	0	#138
out_new_n1140_:new_n288_	296	0	0	#139
new_n1141_	162	256	0	#140
new_n1142_	146	256	0	#141
out_new_n1143_:new_n1142_	144	337	0	#142
out_new_n1144_:new_n542_	0	194	0	#143
new_n1145_	284	105	0	#144
new_n1146_	332	105	0	#145
new_n1147_	336	137	0	#146
out_new_n1148_:new_n572_	0	299	0	#147
new_n1149_	327	231	0	#148
new_n1150_	327	232	0	#149
out_new_n1151_:new_n1150_	328	337	0	#150
out_new_n1152_:new_n552_	0	280	0	#151
new_n1153_	4	2	0	#152
new_n1154_	3	2	0	#153
new_n1155_	2	1	0	#154
out_new_n1156_:new_n1147_	337	139	0	#155
new_n1157_	2	2	0	#156
new_n1158_	1	2	0	#157
out_new_n1159_:new_n1158_	0	36	0	#158
out_new_n1160_:new_n518_	337	264	0	#159
new_n1161_	159	2	0	#160
new_n1162_	151	2	0	#161
out_new_n1163_:new_n1162_	145	0	0	#162
out_new_n1164_:new_n454_	0	66	0	#163
new_n1165_	182	172	0	#164
new_n1166_	204	255	0	#165
new_n1167_	336	259	0	#166
out_new_n1168_:new_n484_	199	0	0	#167
new_n1169_	318	141	0	#168
new_n1170_	318	282	0	#169
out_new_n1171_:new_n1170_	319	337	0	#170
out_new_n1172_:new_n464_	0	65	0	#171
new_n1173_	65	221	0	#172
new_n1174_	61	222	0	#173
new_n1175_	59	223	0	#174
out_new_n1176_:new_n1167_	337	260	0	#175
new_n1177_	59	224	0	#176
new_n1178_	59	227	0	#177
new_n1179_	2	226	0	#178
out_new_n1180_:new_n562_	337	241	0	#179
new_n1181_	220	305	0	#180
new_n1182_	204	308	0	#181
out_new_n1183_:new_n1182_	202	337	0	#182
out_new_n1184_:new_n600_	154	337	0	#183
new_n1185_	43	205	0	#184
new_n1186_	3	206	0	#185
new_n1187_	1	209	0	#186
new_n1188_	286	317	0	#187
out_new_n1189_:new_n1188_	286	337	0	#188
new_n1190_	307	119	0	#189
new_n1191_	315	118	0	#190
out_new_n1192_:new_n1191_	337	174	0	#191
out_new_n1193_:new_n596_	320	337	0	#192
new_n1194_	104	33	0	#193
new_n1195_	54	40	0	#194
new_n1196_	8	330	0	#195
new_n1197_	4	330	0	#196
out_new_n1198_:new_n1187_	0	218	0	#197
new_n1199_	2	330	0	#198
new_n1200_	1	333	0	#199
out_new_n1201_:new_n1200_	0	335	0	#200
out_new_n1202_:new_n606_	0	326	0	#201
new_n1203_	2	74	0	#202
new_n1204_	1	75	0	#203
out_new_n1205_:new_n1204_	0	158	0	#204
out_new_n1206_:new_n498_	0	277	0	#205
new_n1207_	335	20	0	#206
new_n1208_	335	21	0	#207
new_n1209_	336	36	0	#208
out_new_n1210_:new_n528_	306	337	0	#209
new_n1211_	151	88	0	#210
new_n1212_	139	88	0	#211
out_new_n1213_:new_n1212_	138	337	0	#212
out_new_n1214_:new_n508_	37	337	0	#213
new_n1215_	213	150	0	#214
new_n1216_	213	291	0	#215
new_n1217_	211	300	0	#216
out_new_n1218_:new_n1209_	337	36	0	#217
new_n1219_	209	301	0	#218
new_n1220_	208	314	0	#219
new_n1221_	206	317	0	#220
out_new_n1222_:new_n1179_	0	226	0	#221
new_n1223_	206	318	0	#222
new_n1224_	206	319	0	#223
new_n1225_	206	330	0	#224
out_new_n1227_:new_n763_	0	52	0	#225
new_n1228_	336	7	0	#226
out_new_n1229_:new_n1228_	337	8	0	#227
out_new_n1230_:new_n798_	172	0	0	#228
new_n1231_	239	161	0	#229
new_n1232_	239	164	0	#230
new_n1233_	239	165	0	#231
out_new_n1234_:new_n1233_	337	182	0	#232
out_new_n1235_:new_n791_	337	64	0	#233
new_n1236_	1	217	0	#234
out_new_n1237_:new_n1236_	0	232	0	#235
out_new_n1238_:new_n810_	337	72	0	#236
new_n1239_	137	203	0	#237
new_n1240_	137	204	0	#238
new_n1241_	137	231	0	#239
new_n1242_	335	230	0	#240
out_new_n1243_:new_n827_	27	337	0	#241
new_n1244_	2	9	0	#242
out_new_n1245_:new_n1244_	0	9	0	#243
out_new_n1246_:new_n822_	22	0	0	#244
new_n1247_	177	1	0	#245
new_n1248_	177	2	0	#246
new_n1249_	175	2	0	#247
out_new_n1250_:new_n1249_	170	0	0	#248
out_new_n1251_:new_n803_	337	60	0	#249
new_n1252_	335	9	0	#250
out_new_n1253_:new_n1252_	337	13	0	#251
out_new_n1254_:new_n834_	103	0	0	#252
new_n1255_	254	314	0	#253
new_n1256_	255	315	0	#254
new_n1257_	255	316	0	#255
new_n1258_	255	317	0	#256
out_new_n1259_:new_n1242_	337	230	0	#257
new_n1260_	255	318	0	#258
new_n1261_	255	334	0	#259
out_new_n1262_:new_n1261_	253	337	0	#260
out_new_n1263_:new_n815_	0	80	0	#261
new_n1264_	335	189	0	#262
out_new_n1265_:new_n1264_	337	201	0	#263
out_new_n1266_:new_n694_	4	0	0	#264
new_n1267_	57	2	0	#265
new_n1268_	55	3	0	#266
new_n1269_	55	54	0	#267
out_new_n1270_:new_n1269_	0	155	0	#268
out_new_n1271_:new_n687_	337	328	0	#269
new_n1272_	336	184	0	#270
out_new_n1273_:new_n1272_	337	189	0	#271
out_new_n1274_:new_n706_	54	0	0	#272
new_n1275_	156	1	0	#273
new_n1276_	156	2	0	#274
new_n1277_	157	2	0	#275
new_n1278_	159	1	0	#276
out_new_n1279_:new_n723_	0	305	0	#277
new_n1280_	336	248	0	#278
out_new_n1281_:new_n1280_	337	257	0	#279
out_new_n1282_:new_n718_	0	173	0	#280
new_n1283_	267	1	0	#281
new_n1284_	267	2	0	#282
new_n1285_	269	92	0	#283
out_new_n1286_:new_n1285_	271	337	0	#284
out_new_n1287_:new_n699_	213	0	0	#285
new_n1288_	13	1	0	#286
out_new_n1289_:new_n1288_	13	0	0	#287
out_new_n1290_:new_n730_	268	0	0	#288
new_n1291_	59	279	0	#289
new_n1292_	59	280	0	#290
new_n1293_	59	289	0	#291
new_n1294_	65	289	0	#292
out_new_n1295_:new_n1278_	159	0	0	#293
new_n1296_	67	290	0	#294
new_n1297_	69	329	0	#295
new_n1298_	69	330	0	#296
