Netlist file: ../../benchmarks/fpga/net_EPFL/cavlc.net   Architecture file: arch/k4-n1.xml
Array size: 50 x 50 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_coeff_token0:new_n144_	10	51	0	#0
out_coeff_token1:new_n249_	42	0	0	#1
out_coeff_token2:new_n342_	43	0	0	#2
out_coeff_token3:new_n408_	35	0	0	#3
out_coeff_token4:new_n416_	30	51	0	#4
out_coeff_token5:new_n420_	20	51	0	#5
ctable0		38	0	0	#6
ctable1		12	51	0	#7
ctable2		0	14	0	#8
out_ctoken_len0:new_n499_	23	51	0	#9
out_ctoken_len1:new_n581_	1	0	0	#10
out_ctoken_len2:new_n637_	51	29	0	#11
out_ctoken_len3:new_n672_	0	33	0	#12
out_ctoken_len4:new_n679_	0	47	0	#13
out_new_n100_:new_n99_	0	23	0	#14
new_n101_	28	3	0	#15
new_n102_	35	31	0	#16
out_new_n103_:new_n102_	35	51	0	#17
new_n104_	21	20	0	#18
new_n105_	22	21	0	#19
new_n106_	22	20	0	#20
new_n107_	20	19	0	#21
new_n108_	20	16	0	#22
new_n109_	49	29	0	#23
new_n110_	1	25	0	#24
new_n111_	1	26	0	#25
new_n112_	1	27	0	#26
out_new_n113_:new_n112_	0	43	0	#27
new_n114_	26	3	0	#28
new_n115_	9	16	0	#29
out_new_n116_:totalcoeffs3	0	49	0	#30
new_n117_	9	15	0	#31
new_n118_	8	14	0	#32
new_n119_	4	14	0	#33
new_n120_	4	15	0	#34
new_n121_	2	15	0	#35
out_new_n122_:new_n121_	0	18	0	#36
new_n123_	19	15	0	#37
new_n124_	13	15	0	#38
new_n125_	11	15	0	#39
new_n126_	7	15	0	#40
new_n127_	3	15	0	#41
out_new_n128_:new_n127_	0	16	0	#42
out_new_n129_:trailingones0	48	51	0	#43
new_n130_	7	1	0	#44
out_new_n131_:new_n130_	7	0	0	#45
new_n132_	25	3	0	#46
new_n133_	24	1	0	#47
out_new_n134_:new_n133_	24	0	0	#48
out_new_n135_:trailingones1	29	0	0	#49
new_n136_	24	27	0	#50
out_new_n137_:new_n136_	24	51	0	#51
new_n138_	29	30	0	#52
new_n139_	29	31	0	#53
new_n140_	29	32	0	#54
out_new_n141_:new_n140_	29	51	0	#55
new_n142_	8	7	0	#56
new_n143_	10	7	0	#57
new_n144_	10	8	0	#58
new_n146_	44	30	0	#59
new_n147_	44	31	0	#60
new_n148_	44	32	0	#61
out_new_n149_:new_n148_	45	51	0	#62
out_new_n150_:trailingones0	42	51	0	#63
new_n151_	37	29	0	#64
new_n152_	47	29	0	#65
out_new_n153_:new_n152_	51	40	0	#66
out_new_n154_:new_n58_	51	25	0	#67
new_n155_	39	29	0	#68
new_n156_	39	28	0	#69
new_n157_	41	27	0	#70
new_n158_	45	27	0	#71
new_n159_	47	27	0	#72
out_new_n160_:new_n159_	51	36	0	#73
new_n161_	12	3	0	#74
new_n162_	48	3	0	#75
new_n163_	49	3	0	#76
new_n164_	50	3	0	#77
out_new_n165_:new_n164_	51	6	0	#78
new_n166_	11	3	0	#79
new_n167_	10	2	0	#80
new_n168_	9	1	0	#81
out_new_n169_:new_n168_	9	0	0	#82
new_n170_	22	7	0	#83
out_new_n171_:new_n170_	19	0	0	#84
new_n172_	22	1	0	#85
new_n173_	27	1	0	#86
