Netlist file: ../../benchmarks/fpga/net_EPFL/ctrl.net   Architecture file: arch/k4-n1.xml
Array size: 10 x 10 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
Cin		1	2	0	#0
out_alu_op0:new_n72_	0	4	0	#1
out_alu_op1:new_n77_	8	11	0	#2
out_alu_op2:new_n83_	6	11	0	#3
out_alu_op_ext0:new_n90_	5	0	0	#4
out_alu_op_ext1:new_n92_	0	10	0	#5
out_alu_op_ext2:new_n96_	2	0	0	#6
out_alu_op_ext3:new_n100_	11	7	0	#7
out_beqz:new_n114_	3	11	0	#8
out_bgez:new_n118_	10	11	0	#9
out_bltz:new_n120_	9	11	0	#10
out_bnez:new_n116_	3	0	0	#11
out_halt:new_n103_	7	11	0	#12
out_invA:new_n125_	0	2	0	#13
out_invB:Cin	0	1	0	#14
jump		10	1	0	#15
out_mem_write:new_n131_	5	11	0	#16
new_n100_	10	6	0	#17
new_n102_	7	4	0	#18
new_n103_	7	5	0	#19
new_n105_	10	4	0	#20
new_n106_	10	5	0	#21
out_new_n107_:new_n106_	11	10	0	#22
new_n108_	4	7	0	#23
new_n109_	2	7	0	#24
new_n114_	4	5	0	#25
new_n116_	3	2	0	#26
new_n118_	10	7	0	#27
new_n120_	9	6	0	#28
out_new_n122_:new_n81_	0	3	0	#29
out_new_n123_:new_n63_	0	6	0	#30
new_n124_	1	1	0	#31
new_n125_	1	3	0	#32
new_n129_	7	6	0	#33
out_new_n130_:new_n57_	1	0	0	#34
new_n131_	5	6	0	#35
new_n33_	10	3	0	#36
out_new_n34_:new_n33_	11	3	0	#37
new_n35_	8	4	0	#38
new_n36_	4	4	0	#39
new_n37_	3	4	0	#40
out_new_n38_:new_n37_	2	11	0	#41
new_n39_	8	2	0	#42
new_n40_	9	3	0	#43
new_n41_	8	1	0	#44
new_n42_	6	5	0	#45
new_n43_	5	4	0	#46
new_n44_	5	3	0	#47
new_n45_	5	2	0	#48
out_new_n47_:sel_alu_opB1	4	0	0	#49
new_n48_	7	3	0	#50
new_n49_	6	4	0	#51
new_n50_	5	7	0	#52
out_new_n52_:new_n40_	11	6	0	#53
new_n53_	6	2	0	#54
new_n54_	4	2	0	#55
out_new_n56_:new_n41_	7	0	0	#56
new_n57_	2	4	0	#57
new_n58_	2	5	0	#58
new_n59_	1	6	0	#59
new_n61_	5	5	0	#60
new_n62_	4	6	0	#61
new_n63_	2	6	0	#62
new_n64_	9	1	0	#63
new_n65_	9	2	0	#64
out_new_n66_:new_n65_	11	2	0	#65
new_n67_	3	5	0	#66
new_n68_	3	6	0	#67
new_n69_	3	7	0	#68
out_new_n70_:new_n69_	0	8	0	#69
new_n71_	8	3	0	#70
new_n72_	1	4	0	#71
new_n74_	10	2	0	#72
out_new_n75_:new_n74_	11	9	0	#73
new_n76_	8	6	0	#74
new_n77_	8	5	0	#75
new_n79_	6	3	0	#76
new_n80_	4	3	0	#77
new_n81_	3	3	0	#78
out_new_n82_:new_n81_	1	11	0	#79
new_n83_	6	6	0	#80
out_new_n85_:new_n41_	8	0	0	#81
new_n86_	7	2	0	#82
new_n87_	7	1	0	#83
new_n88_	6	1	0	#84
out_new_n89_:new_n88_	6	0	0	#85
new_n90_	5	1	0	#86
new_n92_	1	5	0	#87
new_n94_	2	3	0	#88
new_n95_	2	2	0	#89
new_n96_	2	1	0	#90
new_n98_	9	4	0	#91
new_n99_	9	5	0	#92
op_ext1		9	0	0	#93
opcode1		11	5	0	#94
opcode2		11	8	0	#95
opcode4		11	4	0	#96
out_reg_write:new_n109_	0	7	0	#97
out_sel_alu_opB0:new_n59_	0	5	0	#98
sel_alu_opB1	4	1	0	#99
out_sel_pc_opA:jump	10	0	0	#100
out_sel_pc_opB:jump	11	1	0	#101
out_sel_reg_dst0:new_n50_	4	11	0	#102
sel_reg_dst1	3	1	0	#103
out_sel_wb:new_n71_	0	9	0	#104
