Netlist file: ../../benchmarks/fpga/net_EPFL/i2c.net   Architecture file: ./arch/k4-n1.xml
Array size: 115 x 115 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_new_n1000_:new_n999_	77	116	0	#0
new_n1001_	76	48	0	#1
new_n1002_	76	53	0	#2
new_n1004_	10	8	0	#3
new_n1005_	12	8	0	#4
out_new_n1006_:new_n1005_	0	45	0	#5
new_n1007_	6	3	0	#6
new_n1008_	12	4	0	#7
new_n1009_	12	3	0	#8
new_n1010_	12	2	0	#9
new_n1011_	12	1	0	#10
out_new_n1012_:new_n1011_	12	0	0	#11
new_n1013_	64	47	0	#12
new_n1014_	63	48	0	#13
new_n1015_	63	51	0	#14
out_new_n1016_:new_n1015_	62	116	0	#15
new_n1017_	51	1	0	#16
new_n1018_	53	1	0	#17
new_n1019_	54	1	0	#18
out_new_n1021_:new_n988_	69	116	0	#19
new_n1022_	67	2	0	#20
new_n1023_	67	1	0	#21
out_new_n1024_:new_n1023_	67	0	0	#22
new_n1025_	6	4	0	#23
new_n1027_	48	1	0	#24
out_new_n1028_:new_n1027_	48	0	0	#25
new_n1029_	56	2	0	#26
new_n1030_	56	1	0	#27
out_new_n1031_:new_n1030_	56	0	0	#28
new_n1032_	58	2	0	#29
new_n1033_	57	2	0	#30
new_n1034_	57	1	0	#31
out_new_n1035_:new_n1034_	57	0	0	#32
new_n1036_	68	46	0	#33
new_n1037_	54	2	0	#34
new_n1038_	55	2	0	#35
new_n1039_	55	1	0	#36
out_new_n1040_:new_n1039_	55	0	0	#37
new_n1041_	70	47	0	#38
new_n1042_	70	48	0	#39
new_n1043_	71	55	0	#40
out_new_n1044_:new_n1043_	72	116	0	#41
new_n1045_	70	46	0	#42
new_n1046_	70	53	0	#43
new_n1048_	1	12	0	#44
out_new_n1049_:new_n1048_	0	33	0	#45
new_n1050_	2	12	0	#46
out_new_n1052_:pi122	0	65	0	#47
new_n1053_	1	10	0	#48
new_n1055_	115	9	0	#49
new_n1056_	115	10	0	#50
new_n1057_	114	9	0	#51
new_n1058_	113	10	0	#52
new_n1059_	113	13	0	#53
new_n1060_	109	9	0	#54
out_new_n1061_:new_n1059_	116	101	0	#55
new_n1062_	109	10	0	#56
new_n1064_	107	9	0	#57
out_new_n1065_:new_n1059_	116	99	0	#58
new_n1066_	107	10	0	#59
new_n1068_	110	9	0	#60
out_new_n1069_:new_n1059_	116	98	0	#61
new_n1070_	111	10	0	#62
new_n1072_	108	11	0	#63
out_new_n1073_:new_n1059_	116	103	0	#64
new_n1074_	108	12	0	#65
new_n1076_	113	8	0	#66
new_n1077_	113	9	0	#67
new_n1078_	112	4	0	#68
out_new_n1079_:new_n1077_	111	116	0	#69
new_n1080_	112	5	0	#70
new_n1082_	111	4	0	#71
out_new_n1083_:new_n1077_	116	106	0	#72
new_n1084_	111	3	0	#73
new_n1086_	110	10	0	#74
out_new_n1087_:new_n1059_	116	102	0	#75
new_n1088_	110	11	0	#76
new_n1090_	108	13	0	#77
