Netlist file: ../../benchmarks/fpga/net_EPFL/max.net   Architecture file: arch/k4-n1.xml
Array size: 414 x 414 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_address0:new_n3502_	336	415	0	#0
address1	188	220	0	#1
in10		218	0	0	#2
in11		172	0	0	#3
in110		0	51	0	#4
in1100		0	213	0	#5
in1101		415	254	0	#6
in1102		129	415	0	#7
in1103		415	367	0	#8
in1104		415	100	0	#9
in1105		23	415	0	#10
in1106		0	116	0	#11
in1107		415	324	0	#12
in1108		415	264	0	#13
in1109		0	369	0	#14
in111		252	415	0	#15
in1110		415	220	0	#16
in1111		415	26	0	#17
in1112		0	339	0	#18
in1113		415	345	0	#19
in1114		0	31	0	#20
in1115		415	394	0	#21
in1116		224	0	0	#22
in1117		400	415	0	#23
in1118		415	144	0	#24
in1119		415	40	0	#25
in112		275	415	0	#26
in1120		0	309	0	#27
in1121		0	99	0	#28
in1122		326	415	0	#29
in1123		0	170	0	#30
in1124		152	0	0	#31
in1125		232	415	0	#32
in1126		415	9	0	#33
in1127		201	415	0	#34
in113		0	83	0	#35
in114		316	0	0	#36
in115		328	0	0	#37
in116		415	127	0	#38
in117		415	225	0	#39
in118		294	0	0	#40
in119		0	228	0	#41
in12		415	52	0	#42
in120		415	179	0	#43
in121		216	415	0	#44
in122		0	141	0	#45
in123		415	159	0	#46
in124		415	413	0	#47
in125		175	0	0	#48
in126		226	0	0	#49
in127		363	415	0	#50
in128		415	397	0	#51
in129		0	405	0	#52
in13		290	415	0	#53
in130		0	198	0	#54
in131		206	415	0	#55
in132		415	295	0	#56
in133		248	0	0	#57
in134		6	415	0	#58
in135		0	11	0	#59
in136		206	0	0	#60
in137		415	162	0	#61
in138		0	73	0	#62
in139		0	33	0	#63
in14		272	415	0	#64
in140		415	262	0	#65
in141		0	402	0	#66
in142		237	415	0	#67
in143		415	214	0	#68
in144		0	23	0	#69
in145		415	114	0	#70
in146		415	364	0	#71
in147		164	0	0	#72
in148		0	365	0	#73
in149		280	415	0	#74
in15		245	0	0	#75
in150		123	0	0	#76
in151		0	95	0	#77
in152		159	415	0	#78
in153		415	12	0	#79
in154		90	0	0	#80
in155		0	61	0	#81
in156		0	355	0	#82
in157		403	415	0	#83
in158		0	102	0	#84
in159		160	0	0	#85
in16		415	32	0	#86
in160		274	0	0	#87
in161		415	2	0	#88
in162		0	41	0	#89
in163		0	263	0	#90
in164		0	319	0	#91
in165		415	401	0	#92
in166		314	415	0	#93
in167		0	37	0	#94
in168		260	0	0	#95
in169		328	415	0	#96
in17		412	415	0	#97
in170		0	266	0	#98
in171		8	415	0	#99
in172		29	415	0	#100
in173		409	415	0	#101
in174		381	415	0	#102
in175		400	0	0	#103
in176		270	0	0	#104
in177		189	0	0	#105
in178		0	136	0	#106
in179		31	0	0	#107
