Netlist file: ../../benchmarks/fpga/net_EPFL/priority.net   Architecture file: arch/k4-n1.xml
Array size: 85 x 85 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
A1		78	0	0	#0
A101		74	0	0	#1
A103		80	86	0	#2
A105		67	0	0	#3
A107		0	33	0	#4
A109		0	6	0	#5
A11		74	86	0	#6
A111		0	79	0	#7
A113		86	12	0	#8
A115		86	30	0	#9
A117		18	86	0	#10
A119		86	69	0	#11
A121		11	0	0	#12
A123		70	0	0	#13
A125		61	86	0	#14
A127		86	85	0	#15
A13		0	25	0	#16
A15		0	82	0	#17
A17		14	86	0	#18
A19		21	86	0	#19
A2		0	54	0	#20
A21		86	72	0	#21
A23		86	50	0	#22
A25		45	86	0	#23
A27		0	84	0	#24
A29		0	12	0	#25
A3		0	9	0	#26
A31		86	3	0	#27
A33		0	49	0	#28
A35		86	47	0	#29
A37		86	23	0	#30
A39		86	21	0	#31
A41		86	13	0	#32
A43		1	86	0	#33
A45		0	22	0	#34
A47		76	86	0	#35
A49		10	0	0	#36
A5		13	0	0	#37
A51		0	44	0	#38
A53		0	50	0	#39
A55		0	35	0	#40
A57		64	0	0	#41
A59		7	86	0	#42
A61		84	0	0	#43
A63		86	26	0	#44
A65		18	0	0	#45
A67		86	83	0	#46
A69		26	86	0	#47
A7		86	79	0	#48
A71		3	86	0	#49
A73		55	0	0	#50
A75		83	86	0	#51
A77		9	86	0	#52
A79		78	86	0	#53
A81		0	68	0	#54
A83		86	82	0	#55
A85		22	0	0	#56
A87		86	46	0	#57
A89		86	10	0	#58
A9		23	86	0	#59
A91		6	86	0	#60
A93		86	14	0	#61
A95		0	80	0	#62
A97		65	0	0	#63
A99		0	51	0	#64
out_F:new_n928_	81	0	0	#65
out_P0:new_n501_	0	39	0	#66
out_P1:new_n742_	4	0	0	#67
out_P2:new_n851_	14	0	0	#68
out_P3:new_n897_	0	60	0	#69
out_P4:new_n915_	0	21	0	#70
out_P5:new_n920_	41	0	0	#71
out_P6:new_n919_	40	0	0	#72
new_n137_	35	59	0	#73
new_n138_	33	59	0	#74
new_n139_	1	60	0	#75
out_new_n140_:new_n139_	0	62	0	#76
out_new_n141_:new_n138_	0	66	0	#77
new_n142_	62	77	0	#78
new_n143_	63	72	0	#79
new_n144_	63	71	0	#80
new_n145_	65	70	0	#81
new_n146_	66	69	0	#82
new_n147_	66	70	0	#83
out_new_n148_:new_n147_	67	86	0	#84
out_new_n149_:new_n145_	66	86	0	#85
new_n150_	67	69	0	#86
new_n151_	67	68	0	#87
new_n152_	67	67	0	#88
new_n153_	67	66	0	#89
out_new_n154_:new_n153_	86	73	0	#90
out_new_n155_:new_n151_	68	86	0	#91
new_n156_	65	65	0	#92
new_n157_	63	64	0	#93
new_n158_	61	63	0	#94
new_n159_	59	62	0	#95
out_new_n160_:new_n159_	52	86	0	#96
out_new_n161_:new_n157_	64	86	0	#97
new_n162_	47	61	0	#98
new_n163_	43	61	0	#99
new_n164_	41	61	0	#100
new_n165_	39	61	0	#101
out_new_n166_:new_n165_	37	86	0	#102
out_new_n167_:new_n163_	43	86	0	#103
new_n168_	33	62	0	#104
new_n169_	31	63	0	#105
new_n170_	30	64	0	#106
new_n171_	30	65	0	#107
out_new_n172_:new_n171_	0	72	0	#108
out_new_n173_:new_n169_	30	86	0	#109
new_n174_	32	64	0	#110
new_n175_	34	63	0	#111
new_n176_	36	62	0	#112
new_n177_	37	61	0	#113
out_new_n178_:new_n177_	86	75	0	#114
out_new_n179_:new_n175_	35	86	0	#115
new_n180_	38	58	0	#116
new_n181_	38	57	0	#117
new_n182_	38	56	0	#118
new_n183_	39	55	0	#119
out_new_n184_:new_n183_	39	86	0	#120
out_new_n185_:new_n181_	38	86	0	#121
new_n186_	39	48	0	#122
new_n187_	39	47	0	#123
new_n188_	39	46	0	#124
new_n189_	41	45	0	#125
out_new_n190_:new_n189_	0	58	0	#126
out_new_n191_:new_n187_	39	0	0	#127
new_n192_	43	44	0	#128
new_n193_	47	41	0	#129
new_n194_	49	40	0	#130
new_n195_	51	39	0	#131
out_new_n196_:new_n195_	86	39	0	#132
out_new_n197_:new_n193_	47	86	0	#133
new_n198_	55	38	0	#134
new_n199_	57	38	0	#135
new_n200_	59	38	0	#136
new_n201_	59	37	0	#137
out_new_n202_:new_n201_	0	40	0	#138
out_new_n203_:new_n199_	86	38	0	#139
new_n204_	61	36	0	#140
new_n205_	63	35	0	#141
new_n206_	65	36	0	#142
new_n207_	65	37	0	#143
out_new_n208_:new_n207_	65	86	0	#144
