Netlist file: ../../benchmarks/fpga/net_EPFL/router.net   Architecture file: arch/k4-n1.xml
Array size: 22 x 22 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
dest_x1		4	0	0	#0
dest_x10	13	0	0	#1
dest_x2		0	17	0	#2
dest_x29	15	23	0	#3
dest_x3		0	19	0	#4
dest_x4		23	20	0	#5
dest_x5		23	18	0	#6
dest_x6		23	3	0	#7
dest_x7		23	22	0	#8
dest_x8		0	4	0	#9
dest_y0		0	10	0	#10
dest_y1		22	0	0	#11
dest_y10	7	0	0	#12
dest_y2		0	22	0	#13
dest_y29	19	0	0	#14
dest_y3		0	20	0	#15
dest_y4		4	23	0	#16
dest_y5		15	0	0	#17
dest_y6		0	3	0	#18
dest_y7		23	2	0	#19
dest_y8		0	1	0	#20
new_n100_	10	10	0	#21
out_new_n101_:new_n100_	10	23	0	#22
new_n102_	3	8	0	#23
out_new_n103_:new_n102_	0	11	0	#24
new_n104_	14	1	0	#25
out_new_n105_:new_n104_	14	0	0	#26
out_new_n106_:new_n68_	13	23	0	#27
new_n107_	12	12	0	#28
out_new_n108_:new_n107_	12	23	0	#29
new_n109_	14	10	0	#30
out_new_n110_:new_n109_	14	23	0	#31
new_n111_	17	6	0	#32
out_new_n112_:new_n111_	23	17	0	#33
new_n113_	16	4	0	#34
out_new_n114_:new_n113_	17	23	0	#35
new_n115_	21	4	0	#36
new_n116_	21	3	0	#37
out_new_n117_:new_n77_	23	8	0	#38
new_n118_	22	8	0	#39
out_new_n119_:new_n118_	23	15	0	#40
new_n120_	8	7	0	#41
out_new_n121_:new_n120_	0	7	0	#42
out_new_n122_:new_n81_	20	0	0	#43
new_n123_	4	1	0	#44
out_new_n124_:dest_x3	0	18	0	#45
new_n125_	22	12	0	#46
out_new_n126_:dest_x7	22	23	0	#47
new_n127_	15	13	0	#48
out_new_n128_:new_n127_	16	23	0	#49
out_new_n129_:new_n125_	23	19	0	#50
new_n130_	5	2	0	#51
new_n131_	5	3	0	#52
new_n132_	7	2	0	#53
new_n133_	9	2	0	#54
new_n134_	9	3	0	#55
new_n135_	9	4	0	#56
new_n136_	9	5	0	#57
new_n137_	11	5	0	#58
new_n138_	12	5	0	#59
new_n139_	12	4	0	#60
new_n140_	14	4	0	#61
new_n141_	14	3	0	#62
new_n142_	16	3	0	#63
new_n143_	17	2	0	#64
new_n144_	17	3	0	#65
new_n145_	19	3	0	#66
new_n146_	19	4	0	#67
new_n147_	20	5	0	#68
out_new_n148_:new_n147_	23	6	0	#69
new_n149_	21	2	0	#70
new_n150_	21	5	0	#71
new_n151_	22	6	0	#72
out_new_n152_:new_n151_	23	7	0	#73
out_new_n153_:dest_x2	0	16	0	#74
out_new_n154_:dest_x4	23	21	0	#75
new_n155_	22	3	0	#76
out_new_n156_:dest_x8	0	5	0	#77
new_n157_	11	1	0	#78
out_new_n158_:new_n157_	11	0	0	#79
new_n159_	22	4	0	#80
new_n160_	22	5	0	#81
new_n161_	21	6	0	#82
new_n162_	20	7	0	#83
new_n163_	20	8	0	#84
new_n164_	18	9	0	#85
new_n165_	18	10	0	#86
new_n166_	17	11	0	#87
new_n167_	16	12	0	#88
new_n168_	16	11	0	#89
new_n169_	16	10	0	#90
new_n170_	16	9	0	#91
new_n171_	16	8	0	#92
new_n172_	15	9	0	#93
new_n173_	13	8	0	#94
new_n174_	13	7	0	#95
new_n175_	11	8	0	#96
new_n176_	11	7	0	#97
new_n177_	11	6	0	#98
new_n178_	11	4	0	#99
new_n179_	10	1	0	#100
new_n181_	7	1	0	#101
new_n182_	6	2	0	#102
new_n183_	4	2	0	#103
new_n184_	3	3	0	#104
new_n185_	3	2	0	#105
new_n186_	3	5	0	#106
new_n187_	4	6	0	#107
new_n188_	6	6	0	#108
new_n189_	8	6	0	#109
new_n190_	12	6	0	#110
new_n191_	14	6	0	#111
new_n192_	16	5	0	#112
new_n193_	18	4	0	#113
new_n194_	19	5	0	#114
new_n195_	19	10	0	#115
new_n196_	21	11	0	#116
new_n197_	21	12	0	#117
out_new_n198_:new_n197_	21	23	0	#118
new_n199_	19	1	0	#119
new_n200_	19	2	0	#120
new_n201_	18	2	0	#121
new_n202_	22	11	0	#122
out_new_n203_:new_n202_	23	12	0	#123
out_new_n204_:new_n195_	20	23	0	#124
new_n205_	21	10	0	#125
out_new_n206_:new_n205_	23	10	0	#126
new_n207_	18	5	0	#127
out_new_n208_:new_n207_	23	5	0	#128
new_n209_	2	6	0	#129
out_new_n210_:new_n209_	0	9	0	#130
new_n211_	9	6	0	#131
out_new_n212_:new_n211_	9	23	0	#132
new_n213_	6	7	0	#133
out_new_n214_:new_n213_	6	23	0	#134
out_new_n215_:new_n190_	23	16	0	#135
new_n216_	21	7	0	#136
out_new_n217_:new_n216_	23	9	0	#137
new_n218_	3	6	0	#138
out_new_n219_:new_n218_	3	23	0	#139
new_n220_	1	6	0	#140
out_new_n221_:new_n220_	0	15	0	#141
new_n222_	6	1	0	#142
out_new_n223_:new_n222_	6	0	0	#143
out_new_n224_:new_n185_	2	23	0	#144
new_n225_	2	1	0	#145
out_new_n226_:new_n225_	2	0	0	#146
new_n227_	3	1	0	#147
out_new_n228_:new_n227_	3	0	0	#148
new_n229_	2	2	0	#149
out_new_n230_:new_n229_	0	2	0	#150
new_n231_	5	1	0	#151
out_new_n232_:new_n231_	5	0	0	#152
new_n233_	19	12	0	#153
out_new_n234_:new_n233_	19	23	0	#154
out_new_n235_:new_n194_	18	23	0	#155
new_n236_	17	1	0	#156
out_new_n237_:new_n236_	17	0	0	#157
new_n238_	20	4	0	#158
out_new_n239_:new_n238_	23	13	0	#159
new_n240_	22	1	0	#160
out_new_n241_:dest_y3	0	21	0	#161
new_n242_	15	1	0	#162
new_n243_	22	2	0	#163
out_new_n244_:new_n243_	23	4	0	#164
new_n245_	15	2	0	#165
new_n246_	21	1	0	#166
out_new_n247_:new_n246_	21	0	0	#167
