Netlist file: ../../benchmarks/fpga/net_EPFL/square.net   Architecture file: arch/k4-n1.xml
Array size: 1574 x 1574 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
a1		0	993	0	#0
a10		0	619	0	#1
a11		1394	0	0	#2
a12		1422	0	0	#3
a13		415	1575	0	#4
a14		355	0	0	#5
a15		1575	1225	0	#6
a16		1575	607	0	#7
a17		39	1575	0	#8
a18		753	1575	0	#9
a19		1575	676	0	#10
a2		1575	330	0	#11
a20		652	1575	0	#12
a21		0	789	0	#13
a22		0	1513	0	#14
a23		1441	1575	0	#15
a24		0	1294	0	#16
a25		0	1315	0	#17
a26		0	253	0	#18
a27		666	0	0	#19
a28		602	1575	0	#20
a29		495	1575	0	#21
a3		1575	41	0	#22
a30		1080	0	0	#23
a31		1575	342	0	#24
a32		40	1575	0	#25
a33		869	0	0	#26
a34		0	1274	0	#27
a35		1575	1138	0	#28
a36		54	1575	0	#29
a37		1575	421	0	#30
a38		1465	0	0	#31
a39		0	610	0	#32
a4		192	0	0	#33
a40		1575	102	0	#34
a41		1575	1247	0	#35
a42		741	0	0	#36
a43		1069	0	0	#37
a44		1112	0	0	#38
a45		154	0	0	#39
a46		1575	1417	0	#40
a47		1575	1560	0	#41
a48		78	0	0	#42
a49		1575	430	0	#43
a5		0	382	0	#44
a50		241	1575	0	#45
a51		528	1575	0	#46
a52		1290	1575	0	#47
a53		331	1575	0	#48
a54		280	1575	0	#49
a55		0	1376	0	#50
a56		81	0	0	#51
a57		1548	1575	0	#52
a58		1242	1575	0	#53
a59		1575	958	0	#54
a6		952	1575	0	#55
a60		330	1575	0	#56
a61		561	0	0	#57
a62		1575	1548	0	#58
a63		1575	1561	0	#59
a7		525	1575	0	#60
a8		0	770	0	#61
a9		0	1050	0	#62
out_asquared10:new_n346_	1575	422	0	#63
out_asquared100:new_n15378_	1575	243	0	#64
out_asquared101:new_n15490_	1575	260	0	#65
out_asquared102:new_n15598_	1575	612	0	#66
out_asquared103:new_n15705_	0	618	0	#67
out_asquared104:new_n15804_	0	612	0	#68
out_asquared105:new_n15902_	0	615	0	#69
out_asquared106:new_n15991_	0	772	0	#70
out_asquared107:new_n16075_	0	852	0	#71
out_asquared108:new_n16157_	831	0	0	#72
out_asquared109:new_n16236_	865	0	0	#73
out_asquared11:new_n383_	1575	425	0	#74
out_asquared110:new_n16308_	991	0	0	#75
out_asquared111:new_n16378_	1007	0	0	#76
out_asquared112:new_n16443_	1014	0	0	#77
out_asquared113:new_n16504_	1015	0	0	#78
out_asquared114:new_n16560_	1006	0	0	#79
out_asquared115:new_n16612_	925	0	0	#80
out_asquared116:new_n16659_	549	0	0	#81
out_asquared117:new_n16704_	474	0	0	#82
out_asquared118:new_n16742_	378	0	0	#83
out_asquared119:new_n16779_	279	0	0	#84
out_asquared12:new_n432_	1575	590	0	#85
out_asquared120:new_n16809_	209	0	0	#86
out_asquared121:new_n16836_	187	0	0	#87
out_asquared122:new_n16857_	162	0	0	#88
out_asquared123:new_n16876_	160	0	0	#89
out_asquared124:new_n16889_	158	0	0	#90
out_asquared125:new_n16899_	0	1097	0	#91
out_asquared126:new_n16904_	0	338	0	#92
out_asquared127:new_n16902_	1575	741	0	#93
out_asquared13:new_n479_	1575	624	0	#94
out_asquared14:new_n534_	1575	729	0	#95
out_asquared15:new_n588_	1575	734	0	#96
out_asquared16:new_n648_	0	751	0	#97
out_asquared17:new_n714_	0	754	0	#98
out_asquared18:new_n786_	681	0	0	#99
out_asquared19:new_n858_	699	1575	0	#100
out_asquared2:new_n191_	0	994	0	#101
out_asquared20:new_n937_	758	0	0	#102
out_asquared21:new_n1017_	782	1575	0	#103
out_asquared22:new_n1104_	895	1575	0	#104
out_asquared23:new_n1191_	938	1575	0	#105
out_asquared24:new_n1289_	1030	1575	0	#106
out_asquared25:new_n1385_	1093	1575	0	#107
out_asquared26:new_n1488_	1575	1073	0	#108
out_asquared27:new_n1596_	1575	959	0	#109
out_asquared28:new_n1710_	1575	752	0	#110
out_asquared29:new_n1822_	1575	649	0	#111
out_asquared3:new_n195_	1575	332	0	#112
out_asquared30:new_n1943_	1210	0	0	#113
out_asquared31:new_n2066_	974	0	0	#114
out_asquared32:new_n2197_	730	0	0	#115
out_asquared33:new_n2328_	691	0	0	#116
out_asquared34:new_n2466_	0	643	0	#117
out_asquared35:new_n2605_	0	678	0	#118
out_asquared36:new_n2752_	0	762	0	#119
out_asquared37:new_n2900_	425	1575	0	#120
out_asquared38:new_n3059_	468	1575	0	#121
out_asquared39:new_n3216_	531	1575	0	#122
out_asquared4:new_n202_	1575	329	0	#123
out_asquared40:new_n3380_	563	1575	0	#124
out_asquared41:new_n3544_	571	1575	0	#125
out_asquared42:new_n3718_	569	1575	0	#126
out_asquared43:new_n3888_	568	1575	0	#127
out_asquared44:new_n4068_	0	1297	0	#128
out_asquared45:new_n4249_	392	0	0	#129
out_asquared46:new_n4439_	389	0	0	#130
out_asquared47:new_n4628_	387	0	0	#131
out_asquared48:new_n4828_	0	459	0	#132
out_asquared49:new_n5026_	0	471	0	#133
out_asquared5:new_n215_	0	46	0	#134
out_asquared50:new_n5237_	0	935	0	#135
out_asquared51:new_n5444_	0	1019	0	#136
out_asquared52:new_n5663_	471	1575	0	#137
out_asquared53:new_n5879_	617	1575	0	#138
out_asquared54:new_n6105_	816	1575	0	#139
out_asquared55:new_n6327_	959	1575	0	#140
out_asquared56:new_n6561_	993	1575	0	#141
out_asquared57:new_n6795_	1209	1575	0	#142
out_asquared58:new_n7038_	1575	1211	0	#143
out_asquared59:new_n7276_	1575	1106	0	#144
out_asquared6:new_n231_	1575	8	0	#145
out_asquared60:new_n7525_	1575	719	0	#146
out_asquared61:new_n7772_	1575	509	0	#147
out_asquared62:new_n8031_	1575	451	0	#148
out_asquared63:new_n8290_	1575	416	0	#149
out_asquared64:new_n8557_	1575	360	0	#150
out_asquared65:new_n8818_	1575	300	0	#151
out_asquared66:new_n9080_	1575	216	0	#152
out_asquared67:new_n9337_	1442	0	0	#153
out_asquared68:new_n9591_	1440	0	0	#154
out_asquared69:new_n9836_	1575	325	0	#155
out_asquared7:new_n250_	976	1575	0	#156
out_asquared70:new_n10074_	1575	948	0	#157
out_asquared71:new_n10309_	1575	1039	0	#158
out_asquared72:new_n10548_	1575	1199	0	#159
out_asquared73:new_n10777_	708	1575	0	#160
