Netlist file: ../../benchmarks/fpga/net_TRETS//too-lrg_k4.net   Architecture file: arch/k4-n1.xml
Array size: 29 x 29 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
new_n100_	14	19	0	#0
new_n101_	12	19	0	#1
new_n102_	11	18	0	#2
new_n103_	12	17	0	#3
out_new_n104_:pd0	30	7	0	#4
out_new_n104_:pw	23	30	0	#5
new_n105_	13	18	0	#6
new_n106_	15	20	0	#7
new_n107_	16	21	0	#8
new_n108_	17	26	0	#9
out_new_n109_:new_n53_	30	8	0	#10
out_new_n109_:new_n110_	30	18	0	#11
new_n110_	16	16	0	#12
new_n111_	13	20	0	#13
new_n112_	12	21	0	#14
new_n113_	12	20	0	#15
new_n114_	10	20	0	#16
new_n115_	11	19	0	#17
new_n116_	10	18	0	#18
new_n117_	9	18	0	#19
out_new_n118_:pc0	27	30	0	#20
out_new_n118_:new_n120_	15	0	0	#21
out_new_n118_:new_n119_	5	0	0	#22
new_n119_	5	1	0	#23
new_n120_	15	18	0	#24
new_n121_	4	1	0	#25
out_new_n122_:new_n93_	0	24	0	#26
new_n123_	20	20	0	#27
new_n124_	20	15	0	#28
new_n125_	18	20	0	#29
new_n126_	18	21	0	#30
out_new_n127_:new_n108_	30	16	0	#31
out_new_n127_:new_n91_	24	0	0	#32
new_n128_	18	18	0	#33
out_new_n130_:new_n146_	26	0	0	#34
out_new_n130_:new_n144_	17	0	0	#35
out_new_n130_:pl0	28	0	0	#36
out_new_n131_:pe0	0	29	0	#37
out_new_n131_:new_n132_	29	0	0	#38
out_new_n131_:new_n134_	27	0	0	#39
new_n132_	29	1	0	#40
new_n133_	19	1	0	#41
new_n134_	27	1	0	#42
out_new_n135_:new_n58_	28	30	0	#43
new_n136_	28	1	0	#44
new_n137_	29	3	0	#45
new_n138_	15	1	0	#46
out_new_n139_:pd0	0	11	0	#47
out_new_n139_:new_n140_	30	23	0	#48
out_new_n139_:new_n143_	30	2	0	#49
new_n140_	23	10	0	#50
new_n141_	17	8	0	#51
out_new_n142_:new_n57_	11	0	0	#52
out_new_n142_:new_n63_	30	26	0	#53
out_new_n142_:pi	30	29	0	#54
new_n143_	28	2	0	#55
new_n144_	17	1	0	#56
new_n145_	14	6	0	#57
new_n146_	25	1	0	#58
new_n147_	8	13	0	#59
new_n148_	14	13	0	#60
new_n149_	16	13	0	#61
new_n150_	14	14	0	#62
new_n151_	14	16	0	#63
new_n152_	13	11	0	#64
new_n153_	8	12	0	#65
new_n154_	12	18	0	#66
new_n155_	14	17	0	#67
new_n156_	24	1	0	#68
new_n157_	14	18	0	#69
out_new_n159_:new_n176_	0	3	0	#70
out_new_n159_:new_n160_	16	0	0	#71
out_new_n159_:new_n178_	0	25	0	#72
new_n160_	16	1	0	#73
out_new_n161_:pm	0	23	0	#74
out_new_n161_:pj	22	0	0	#75
out_new_n161_:new_n133_	30	1	0	#76
new_n162_	18	1	0	#77
new_n163_	20	1	0	#78
new_n164_	16	2	0	#79
new_n165_	15	2	0	#80
new_n166_	15	8	0	#81
new_n167_	16	5	0	#82
out_new_n168_:pe0	0	12	0	#83
out_new_n168_:pd0	2	30	0	#84
out_new_n168_:new_n170_	17	30	0	#85
out_new_n169_:new_n55_	6	0	0	#86
out_new_n169_:new_n163_	20	0	0	#87
out_new_n169_:new_n167_	0	6	0	#88
new_n170_	16	9	0	#89
new_n171_	14	1	0	#90
out_new_n172_:pm	30	12	0	#91
out_new_n172_:pk	0	1	0	#92
out_new_n172_:new_n173_	18	0	0	#93
new_n173_	16	6	0	#94
new_n174_	15	7	0	#95
new_n175_	15	6	0	#96
new_n176_	6	3	0	#97
new_n177_	16	3	0	#98
new_n178_	1	14	0	#99
new_n179_	18	22	0	#100
new_n180_	17	21	0	#101
out_new_n181_:pd0	3	30	0	#102
out_new_n181_:new_n112_	5	30	0	#103
out_new_n181_:new_n182_	15	30	0	#104
new_n182_	17	22	0	#105
new_n183_	15	22	0	#106
new_n184_	14	20	0	#107
new_n185_	17	20	0	#108
out_new_n186_:pi0	8	30	0	#109
out_new_n186_:new_n112_	4	30	0	#110
out_new_n186_:new_n187_	25	30	0	#111
new_n187_	24	19	0	#112
new_n188_	24	17	0	#113
out_new_n44_:pk0	4	0	0	#114
out_new_n44_:new_n68_	12	0	0	#115
out_new_n44_:new_n76_	7	30	0	#116
out_new_n45_:new_n54_	8	0	0	#117
out_new_n45_:new_n67_	30	24	0	#118
out_new_n45_:new_n65_	30	21	0	#119
out_new_n46_:new_n47_	0	2	0	#120
out_new_n46_:new_n51_	30	4	0	#121
new_n47_	1	1	0	#122
new_n48_	1	4	0	#123
new_n49_	2	1	0	#124
out_new_n50_:new_n48_	0	10	0	#125
out_new_n50_:pe0	1	30	0	#126
out_new_n50_:pm	0	15	0	#127
new_n51_	16	4	0	#128
new_n52_	13	6	0	#129
new_n53_	13	19	0	#130
new_n54_	8	1	0	#131
new_n55_	9	1	0	#132
new_n56_	9	2	0	#133
new_n57_	11	5	0	#134
new_n58_	18	10	0	#135
new_n59_	10	2	0	#136
new_n60_	18	2	0	#137
out_new_n61_:new_n62_	24	30	0	#138
out_new_n61_:new_n63_	30	27	0	#139
new_n62_	11	20	0	#140
new_n63_	26	15	0	#141
new_n64_	7	1	0	#142
new_n65_	28	14	0	#143
new_n66_	12	14	0	#144
new_n67_	29	17	0	#145
new_n68_	13	3	0	#146
out_new_n69_:pd0	29	30	0	#147
out_new_n69_:new_n70_	30	9	0	#148
out_new_n69_:new_n71_	30	14	0	#149
new_n70_	18	14	0	#150
new_n71_	18	13	0	#151
new_n72_	13	4	0	#152
out_new_n73_:pv	0	27	0	#153
out_new_n73_:pa	30	6	0	#154
new_n74_	13	5	0	#155
new_n75_	11	11	0	#156
new_n76_	10	19	0	#157
new_n77_	13	1	0	#158
new_n78_	11	1	0	#159
new_n79_	11	2	0	#160
new_n80_	6	2	0	#161
out_new_n81_:new_n48_	0	9	0	#162
out_new_n81_:py	9	30	0	#163
out_new_n81_:new_n82_	30	3	0	#164
new_n82_	27	2	0	#165
new_n83_	17	2	0	#166
out_new_n84_:pa0	30	22	0	#167
out_new_n84_:pd0	0	17	0	#168
out_new_n84_:pv	0	28	0	#169
out_new_n85_:ph	0	8	0	#170
new_n86_	6	1	0	#171
new_n87_	12	2	0	#172
new_n88_	14	2	0	#173
new_n89_	15	15	0	#174
new_n90_	16	20	0	#175
new_n91_	15	21	0	#176
new_n92_	18	23	0	#177
new_n93_	1	17	0	#178
new_n94_	12	1	0	#179
new_n95_	10	1	0	#180
new_n96_	13	2	0	#181
out_new_n97_:new_n95_	14	0	0	#182
out_new_n97_:pk	1	0	0	#183
out_new_n97_:new_n98_	23	0	0	#184
new_n98_	21	1	0	#185
new_n99_	20	19	0	#186
pa		30	5	0	#187
pa0		30	10	0	#188
pb		19	0	0	#189
pb0		18	30	0	#190
pc		0	14	0	#191
pc0		20	30	0	#192
pd		7	0	0	#193
pd0		0	21	0	#194
pe0		6	30	0	#195
pf		0	5	0	#196
pf0		13	30	0	#197
pg		0	4	0	#198
pg0		11	30	0	#199
ph		0	7	0	#200
ph0		0	22	0	#201
pi		30	28	0	#202
pi0		10	30	0	#203
pj		21	0	0	#204
pj0		30	11	0	#205
pk		2	0	0	#206
pk0		3	0	0	#207
pl		10	0	0	#208
pl0		25	0	0	#209
pm		30	20	0	#210
pm0		0	26	0	#211
pn		0	19	0	#212
out_pn0:new_n77_	13	0	0	#213
out_pn0:new_n108_	30	25	0	#214
out_pn0:new_n99_	30	19	0	#215
po		14	30	0	#216
out_po0:new_n108_	30	15	0	#217
out_po0:new_n147_	0	13	0	#218
