,,,sa - 1 - mesh,,sa - 1 - 1hop,, sa - 10 - mesh,,sa - 10 - 1hop,, sa - 100 - mesh,,sa - 100 - 1hop,, sa - 1000 - mesh,,sa - 1000 - 1hop,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Num Annotations_x,Dist Total_y,Edges > 0_y,Num Annotations_y,Dist Total_x,Edges > 0_x,Num Annotations_x,Dist Total_y,Edges > 0_y,Num Annotations_y,Dist Total_x,Edges > 0_x,Num Annotations_x,Dist Total_y,Edges > 0_y,Num Annotations_y,Dist Total_x,Edges > 0_x,Num Annotations_x,Dist Total_y,Edges > 0_y,Num Annotations_y
Cplx8,91,-1,30,18,0,8,8,0,27,20,0,2,2,0,21,15,0,2,2,0,18,13,0,1,1,0
arf,30,-1,6,6,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0
BBT-h5,62,-1,17,16,0,1,1,0,12,11,0,0,0,0,10,10,0,0,0,0,9,9,0,0,0,0
dag18-5x5-MC=1,21,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
h2v2_smooth,65,-1,11,7,0,2,2,0,9,7,0,1,1,0,8,7,0,0,0,0,4,2,0,0,0,0
dag20-5x5,20,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simple,17,-1,3,3,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0
tree25-5x5,24,-1,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag14-4x4-MC=1,16,-1,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
dag32-6x6,35,-1,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree35-6x6,34,-1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree44-7x7,43,-1,4,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invert_matrix,390,-1,1550,148,0,1257,261,0,1345,147,0,1097,242,0,1345,147,0,650,92,0,1181,146,0,1105,242,0
tree23-5x5,22,-1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree15-4x4-MC=1,15,-1,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree20-5x5-MC=1,20,-1,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree23-5x5-MC=1,23,-1,3,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
my_graph,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k4n4op,74,-1,43,31,0,11,10,0,36,22,0,9,9,0,36,22,0,6,6,0,35,24,0,5,4,0
dag41-7x7-MC=1,46,-1,7,5,0,1,1,0,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
dag32-6x6-MC=1,36,-1,7,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
Fir16,91,-1,24,20,0,5,4,0,24,20,0,3,3,0,16,13,0,1,1,0,16,13,0,1,1,0
mac,11,-1,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree27-6x6-MC=1,27,-1,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
dag14-4x4,15,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag43-7x7-MC=1,50,-1,9,7,0,0,0,0,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
cosine2,93,-1,32,23,0,5,5,0,27,20,0,3,3,0,27,20,0,1,1,0,25,18,0,0,0,0
tree30-6x6,29,-1,4,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag24-5x5,28,-1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag39-7x7-MC=1,45,-1,3,3,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
dag30-6x6-MC=1,33,-1,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
horner_bs,16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag43-7x7,49,-1,4,4,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag34-6x6-MC=1,39,-1,7,5,0,4,4,0,4,3,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0
BBT-h4,30,-1,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0
dag22-5x5-MC=1,25,-1,3,3,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
jpeg_fdct_islow,254,-1,161,77,0,42,30,0,161,77,0,42,30,0,130,78,0,37,26,0,123,67,0,32,25,0
tree50-8x8-MC=1,50,-1,5,4,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0
dag24-5x5-MC=1,29,-1,3,2,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree42-7x7-MC=1,42,-1,5,4,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
conv3,32,-1,5,5,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0
ewf,82,-1,18,14,0,5,5,0,12,11,0,2,2,0,10,9,0,1,1,0,8,7,0,0,0,0
BBT-h3,14,-1,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0
dag59-8x8,68,-1,16,14,0,1,1,0,14,7,0,1,1,0,6,4,0,0,0,0,3,2,0,0,0,0
fir2,39,-1,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree40-7x7-MC=1,40,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
dag41-7x7,45,-1,6,5,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
dag15-4x4,17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBT-h2-MC=1,7,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree18-5x5-MC=1,18,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree33-6x6-MC=1,33,-1,4,4,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
BBT-h3-MC=1,15,-1,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0
tree35-6x6-MC=1,35,-1,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
BBT-h2,6,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag27-6x6-MC=1,29,-1,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
