,,,YOTO - 6 - ONE_HOP,,YOTT - 10 - ONE_HOP,, YOTO - 6 - MESH,, YOTT - 10 - MESH,, YOTO - 60 - ONE_HOP,,YOTT - 100 - ONE_HOP,, YOTO - 60 - MESH,, YOTT - 100 - MESH,, YOTO - 600 - ONE_HOP,,YOTT - 1000 - ONE_HOP,, YOTO - 600 - MESH,, YOTT - 1000 - MESH,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Dist Total_y,Edges > 0_y,Dist Total_x,Edges > 0_x,Dist Total_y,Edges > 0_y,Dist Total_x,Edges > 0_x,Dist Total_y,Edges > 0_y,Dist Total_x,Edges > 0_x,Dist Total_y,Edges > 0_y,Dist Total_x,Edges > 0_x,Dist Total_y,Edges > 0_y,Dist Total_x,Edges > 0_x,Dist Total_y,Edges > 0_y
cosine2,93,82,11,9,10,7,33,18,48,24,4,4,3,3,28,15,25,18,2,2,3,3,21,16,22,17
my_graph,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arf,30,27,0,0,0,0,4,4,3,3,0,0,0,0,2,2,3,3,0,0,0,0,1,1,1,1
ewf,82,68,2,2,1,1,7,5,8,6,1,1,0,0,3,3,7,7,0,0,0,0,2,2,2,1
jpeg_fdct_islow,254,216,36,17,28,22,79,33,89,34,24,18,22,16,62,30,66,36,16,14,17,12,53,24,62,45
idctcol,348,297,50,32,33,28,122,38,116,66,23,17,27,25,88,43,68,40,17,13,18,15,62,36,74,58
simple,17,15,0,0,1,1,3,3,1,1,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1
t,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fir2,39,39,3,3,1,1,6,5,9,8,0,0,0,0,6,6,5,5,0,0,0,0,3,3,2,2
FilterRGB,97,83,4,3,3,3,5,5,12,9,1,1,0,0,8,7,11,11,0,0,0,0,1,1,6,6
matmul,124,115,22,16,14,11,43,20,57,21,6,5,10,8,28,15,32,18,5,5,6,6,24,18,26,19
invert_matrix,390,367,73,37,80,44,191,69,152,79,48,34,48,40,185,65,165,84,33,27,43,35,142,66,131,67
Fir16,91,76,5,4,5,4,14,7,9,8,2,1,2,2,9,5,5,5,1,1,1,1,6,5,6,5
horner_bs,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k4n4op,74,58,4,4,2,2,19,11,24,18,2,2,4,4,15,10,15,14,0,0,2,2,8,5,10,9
fir1,43,43,5,5,4,4,18,12,15,11,1,1,0,0,9,9,10,9,0,0,0,0,6,6,8,7
mults1,27,23,0,0,0,0,3,2,2,2,0,0,0,0,1,1,0,0,0,0,-1,1,0,0,0,0
mac,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h2v2_smooth,65,61,8,6,4,4,19,9,19,11,3,3,2,2,14,7,13,9,1,1,2,2,12,7,11,8
jpeg_idct_ifast,346,302,45,31,38,29,133,50,125,67,35,25,33,25,97,45,85,55,24,16,25,23,90,40,82,50
Cplx8,91,76,4,4,6,4,14,11,16,12,1,1,2,2,9,5,11,9,1,1,1,1,4,3,6,5
conv3,32,29,1,1,1,1,4,4,5,5,0,0,0,0,2,2,3,3,0,0,0,0,1,1,1,1
