,Bench,N Edges,Visited Edges,DT - MESH - YOTO - 6,E > 0 - MESH - YOTO- 6,DT - MESH - YOTT - 7,E > 0 - MESH - YOTT- 7,DT - ONE_HOP - YOTO - 6,E > 0 - ONE_HOP - YOTO- 6,DT - ONE_HOP - YOTT - 7,E > 0 - ONE_HOP - YOTT- 7,DT - MESH - YOTO - 60,E > 0 - MESH - YOTO- 60,DT - MESH - YOTT - 70,E > 0 - MESH - YOTT- 70,DT - ONE_HOP - YOTO - 60,E > 0 - ONE_HOP - YOTO- 60,DT - ONE_HOP - YOTT - 70,E > 0 - ONE_HOP - YOTT- 70,DT - MESH - YOTO - 600,E > 0 - MESH - YOTO- 600,DT - MESH - YOTT - 700,E > 0 - MESH - YOTT- 700,DT - ONE_HOP - YOTO - 600,E > 0 - ONE_HOP - YOTO- 600,DT - ONE_HOP - YOTT - 700,E > 0 - ONE_HOP - YOTT- 700
0,cosine2,93,82,30,16,51,22,13,10,22,12,27,21,28,19,6,5,9,8,17,10,23,17,4,3,6,6
1,my_graph,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,arf,30,27,3,3,2,2,1,1,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3,ewf,82,68,3,3,10,9,2,2,1,1,3,3,7,5,0,0,1,1,3,3,2,2,0,0,0,0
4,jpeg_fdct_islow,254,216,78,29,69,26,36,25,48,27,56,28,68,42,29,21,28,21,56,28,53,36,16,11,22,17
5,idctcol,348,297,96,35,114,49,51,26,43,23,87,32,85,55,36,24,21,18,53,27,63,41,18,16,21,18
6,simple,17,15,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
7,t,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,fir2,39,39,8,7,10,6,1,1,4,3,5,5,6,4,0,0,2,2,3,3,1,1,0,0,0,0
9,FilterRGB,97,83,10,9,12,10,2,2,2,2,6,5,9,8,1,1,2,2,5,5,5,4,0,0,0,0
10,matmul,124,115,33,20,49,24,15,10,22,15,30,15,32,18,9,8,15,9,25,15,29,21,6,6,10,8
11,invert_matrix,390,367,195,61,211,76,65,40,89,46,161,59,164,75,65,40,45,40,128,60,123,64,40,30,45,40
12,Fir16,91,76,9,6,16,9,5,5,5,5,7,4,7,6,1,1,0,0,1,1,6,6,1,1,0,0
13,horner_bs,16,16,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,k4n4op,74,58,18,11,13,9,8,5,11,9,18,11,13,9,3,3,3,3,7,5,9,7,2,2,0,0
15,fir1,43,43,17,10,19,10,3,3,7,5,10,9,11,10,2,2,4,4,8,6,6,6,1,1,1,1
16,mults1,27,23,2,1,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,mac,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,h2v2_smooth,65,61,23,14,13,7,8,4,8,8,13,8,13,7,5,5,7,7,12,8,11,5,3,3,2,2
19,jpeg_idct_ifast,346,302,139,42,125,61,66,32,48,24,112,32,121,67,52,36,32,18,75,35,86,60,31,24,18,16
20,Cplx8,91,76,11,7,9,7,6,6,5,4,9,5,9,7,2,1,2,2,3,3,5,4,1,1,1,1
21,conv3,32,29,5,4,3,3,0,0,2,2,2,2,2,2,0,0,0,0,1,1,1,1,0,0,0,0
